1530772584563000064,-0.05602,-0.02866,0.10192,0.77667,-0.62708,-0.05796,0.01409,-0.09184,-0.04064,0.11781,
1530772584612999936,-0.07193,-0.03415,0.11899,0.78688,-0.61364,-0.06528,-0.00329,-0.13745,0.00009,0.12048,
1530772584663000064,-0.07856,-0.03220,0.12448,0.78436,-0.61662,-0.06716,-0.00739,-0.12057,0.10804,0.08832,
1530772584712999936,-0.08607,-0.02592,0.12975,0.77508,-0.62693,-0.07844,0.00749,-0.13300,0.22031,0.10060,
1530772584763000064,-0.08697,-0.01251,0.13275,0.76318,-0.63748,-0.10090,0.03167,-0.10292,0.29062,0.09643,
1530772584812000000,-0.09077,0.00148,0.13570,0.75520,-0.64037,-0.12819,0.05629,-0.09703,0.28792,0.09925,
1530772584861999872,-0.09540,0.01521,0.13957,0.74637,-0.64250,-0.15312,0.08167,-0.07027,0.23462,0.10501,
1530772584912000000,-0.09834,0.02583,0.14287,0.74213,-0.64227,-0.16563,0.09638,-0.00546,0.14742,0.07642,
1530772584961999872,-0.09884,0.03318,0.14484,0.74461,-0.63957,-0.16237,0.10074,0.06385,0.07602,0.06490,
1530772585012000000,-0.09880,0.03965,0.14691,0.75089,-0.63612,-0.15242,0.09100,0.12170,0.05779,0.03297,
1530772585062000128,-0.09434,0.04229,0.14922,0.75987,-0.63255,-0.12595,0.08133,0.15768,0.01918,0.01994,
1530772585112000000,-0.08791,0.04284,0.15041,0.76681,-0.63210,-0.08880,0.06757,0.14708,-0.00689,0.02613,
1530772585161999872,-0.08061,0.04118,0.15167,0.76985,-0.63420,-0.04891,0.05232,0.13918,-0.01744,-0.00513,
1530772585212000000,-0.07334,0.03920,0.15164,0.77046,-0.63602,-0.00938,0.04225,0.12813,-0.03653,-0.03162,
1530772585262000128,-0.06867,0.03863,0.14994,0.77117,-0.63532,0.02780,0.02989,0.09139,-0.05638,-0.04030,
1530772585312000000,-0.06501,0.03707,0.14811,0.76844,-0.63697,0.06080,0.00807,0.07153,-0.08253,-0.04400,
1530772585360999936,-0.06018,0.03129,0.14549,0.75764,-0.64531,0.09694,-0.01264,0.06849,-0.10489,-0.08560,
1530772585411000064,-0.05566,0.02630,0.14283,0.75277,-0.64497,0.12814,-0.03050,0.05855,-0.12206,-0.07076,
1530772585460999936,-0.05115,0.02045,0.14370,0.74553,-0.64700,0.15032,-0.05454,0.05653,-0.14381,-0.01705,
1530772585510999808,-0.04631,0.01236,0.14777,0.74059,-0.64585,0.16660,-0.08153,0.05553,-0.17103,0.04438,
1530772585561000192,-0.04243,0.00293,0.15405,0.74687,-0.63149,0.17034,-0.11996,0.03112,-0.17910,0.07904,
1530772585611000064,-0.04095,-0.00695,0.15973,0.75333,-0.61485,0.17735,-0.15163,0.01884,-0.18060,0.09231,
1530772585660999936,-0.04099,-0.01653,0.16477,0.76305,-0.59479,0.17888,-0.17881,0.00270,-0.17674,0.09093,
1530772585711000064,-0.04295,-0.02570,0.16816,0.76981,-0.57887,0.18209,-0.19784,-0.02611,-0.17431,0.06098,
1530772585760999936,-0.04697,-0.03504,0.17033,0.77005,-0.57086,0.19105,-0.21127,-0.05897,-0.17680,0.03844,
1530772585811000064,-0.05117,-0.04313,0.17030,0.76294,-0.57393,0.20521,-0.21544,-0.07681,-0.16440,-0.01736,
1530772585860999936,-0.05554,-0.05092,0.16842,0.75104,-0.58308,0.22413,-0.21383,-0.11446,-0.16398,-0.06678,
1530772585911000064,-0.06005,-0.05749,0.16468,0.73547,-0.59546,0.24490,-0.21103,-0.11384,-0.13548,-0.10946,
1530772585960000000,-0.06377,-0.06161,0.15938,0.71955,-0.61130,0.26075,-0.20140,-0.09510,-0.09066,-0.13122,
1530772586009999872,-0.06681,-0.06287,0.15395,0.70869,-0.62658,0.26170,-0.19150,-0.08046,-0.04246,-0.12050,
1530772586060000000,-0.06858,-0.06140,0.14961,0.69835,-0.64725,0.24830,-0.17812,-0.06893,0.01190,-0.08720,
1530772586109999872,-0.07070,-0.05808,0.14592,0.68692,-0.67206,0.22308,-0.16343,-0.08789,0.04075,-0.08630,
1530772586160000000,-0.07440,-0.05485,0.14177,0.68143,-0.68947,0.19523,-0.14888,-0.11635,0.04689,-0.07052,
1530772586210000128,-0.07921,-0.05056,0.13805,0.67748,-0.70268,0.16746,-0.13864,-0.12657,0.05574,-0.06716,
1530772586260000000,-0.08348,-0.04523,0.13501,0.68185,-0.70827,0.13450,-0.12385,-0.11319,0.09149,-0.04012,
1530772586309999872,-0.08738,-0.03879,0.13316,0.68542,-0.71422,0.09859,-0.10188,-0.12526,0.10739,-0.02441,
1530772586360000000,-0.09176,-0.03192,0.13208,0.68927,-0.71642,0.06781,-0.08404,-0.13985,0.11502,-0.00701,
1530772586410000128,-0.09637,-0.02383,0.13229,0.69412,-0.71572,0.03460,-0.06892,-0.14799,0.12632,0.01596,
1530772586460000000,-0.10254,-0.01534,0.13366,0.69637,-0.71547,0.00374,-0.05615,-0.15117,0.12683,0.01773,
1530772586508999936,-0.10822,-0.00681,0.13470,0.69949,-0.71284,-0.02398,-0.04466,-0.13163,0.13555,0.00446,
1530772586559000064,-0.11222,0.00352,0.13552,0.70478,-0.70668,-0.05573,-0.02780,-0.07658,0.17765,-0.00060,
1530772586608999936,-0.11430,0.01452,0.13534,0.70783,-0.70096,-0.08735,-0.00246,-0.04644,0.17640,-0.02680,
1530772586658999808,-0.11475,0.02515,0.13390,0.71204,-0.69230,-0.11490,0.02294,0.00201,0.19069,-0.04839,
1530772586709000192,-0.11405,0.03544,0.13124,0.71416,-0.68250,-0.14468,0.05695,0.02229,0.18502,-0.07141,
