1543497843964000000,0.07083,-0.03189,0.00730,0.73022,-0.67837,0.08064,-0.00954,
1543497844013999872,0.07498,-0.02927,0.01462,0.73980,-0.66590,0.09572,-0.01067,
1543497844064000000,0.07705,-0.02662,0.02226,0.75312,-0.64808,0.11282,-0.00888,
1543497844114000128,0.07755,-0.02441,0.03028,0.76853,-0.62792,0.12272,0.00303,
1543497844164000000,0.07685,-0.02258,0.03755,0.78300,-0.60917,0.12360,0.02321,
1543497844213999872,0.07414,-0.02091,0.04354,0.79670,-0.59205,0.11057,0.05023,
1543497844263000064,0.06933,-0.02035,0.04780,0.80321,-0.58304,0.09071,0.08179,
1543497844312999936,0.06323,-0.02032,0.05000,0.81068,-0.57163,0.06818,0.10675,
1543497844362999808,0.05655,-0.02248,0.05069,0.81363,-0.56555,0.04152,0.12823,
1543497844413000192,0.04965,-0.02557,0.04992,0.81306,-0.56376,0.02192,0.14365,
1543497844463000064,0.04367,-0.03017,0.04792,0.81014,-0.56604,0.00366,0.15255,
1543497844512999936,0.03896,-0.03589,0.04506,0.80487,-0.57163,-0.00802,0.15923,
1543497844563000064,0.03539,-0.04178,0.04078,0.79679,-0.58197,-0.01963,0.16140,
1543497844612999936,0.03307,-0.04767,0.03568,0.78823,-0.59319,-0.03084,0.16082,
1543497844663000064,0.03191,-0.05302,0.02958,0.77885,-0.60622,-0.04035,0.15577,
1543497844712999936,0.03158,-0.05820,0.02236,0.76678,-0.62291,-0.04882,0.14716,
1543497844763000064,0.03201,-0.06239,0.01490,0.75471,-0.64028,-0.05079,0.13367,
1543497844812999936,0.03320,-0.06475,0.00771,0.74379,-0.65654,-0.04701,0.11629,
1543497844861999872,0.03484,-0.06422,0.00250,0.73698,-0.66742,-0.03831,0.09975,
1543497844912000000,0.03539,-0.06177,-0.00161,0.73239,-0.67501,-0.02650,0.08518,
1543497844961999872,0.03478,-0.05840,-0.00567,0.72878,-0.68091,-0.01273,0.07126,
1543497845012000000,0.03335,-0.05332,-0.00967,0.72992,-0.68057,-0.00734,0.06310,
1543497845062000128,0.03109,-0.04877,-0.01408,0.72930,-0.68177,0.00352,0.05741,
1543497845112000000,0.02925,-0.04441,-0.01808,0.72869,-0.68281,0.00953,0.05184,
1543497845161999872,0.02805,-0.04081,-0.02201,0.72909,-0.68290,0.01471,0.04309,
1543497845212000000,0.02720,-0.03794,-0.02568,0.72921,-0.68301,0.01937,0.03708,
1543497845262000128,0.02629,-0.03561,-0.02915,0.72657,-0.68585,0.02603,0.03197,
1543497845312000000,0.02520,-0.03246,-0.03327,0.72329,-0.68938,0.03114,0.02522,
1543497845361999872,0.02401,-0.02878,-0.03830,0.72017,-0.69268,0.03529,0.01776,
1543497845460999936,0.02024,-0.02417,-0.04926,0.71476,-0.69847,0.03384,0.01055,
1543497845561000192,0.01544,-0.02247,-0.05572,0.71383,-0.69984,0.02433,0.00950,
1543497845660999936,0.01141,-0.01851,-0.05454,0.71560,-0.69816,0.01856,0.01204,
1543497845811000064,0.00636,-0.01473,-0.05506,0.70979,-0.70405,0.01677,0.01483,
1543497845960000000,0.00793,-0.01329,-0.05829,0.71536,-0.69850,0.00836,0.01684,
